City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
210,Mvuma,ZW,1666741178,-19.2792,30.5283,66.74,56,46,5.61
211,Lüderitz,NA,1666741178,-26.6481,15.1594,64.45,58,100,12.93
212,Barra do Garças,BR,1666741178,-15.89,-52.2567,79.86,55,21,3.04
213,Clyde River,CA,1666741179,70.4692,-68.5914,1.63,71,0,4.61
214,Santiago,CL,1666741107,-33.4569,-70.6483,60.85,59,75,14.97
215,Jacareacanga,BR,1666741179,-6.2222,-57.7528,73.04,98,100,1.05
216,Pisco,PE,1666740904,-13.7,-76.2167,62.65,77,0,20.71
217,Ape,LV,1666741179,57.5393,26.6929,50.72,98,100,4.83
218,Vestmannaeyjar,IS,1666741180,63.4427,-20.2734,45.0,85,100,27.45
219,Tripoli,LY,1666741180,32.8752,13.1875,74.68,49,4,4.79
220,Yumbing,PH,1666741180,9.2393,124.6578,81.01,81,100,4.27
221,Broome,US,1666741181,42.2506,-75.833,66.6,83,20,5.75
222,Boshnyakovo,RU,1666741181,49.6333,142.1667,44.06,73,40,12.73
223,Berdigestyakh,RU,1666741181,62.0989,126.6992,25.18,95,99,7.25
224,Ust'-Koksa,RU,1666741182,50.2696,85.6108,24.28,44,72,1.59
225,Saint George,US,1666741182,37.1041,-113.5841,67.42,24,0,1.99
226,Pueblo Bello,CO,1666741182,8.2041,-76.526,81.1,96,100,2.71
227,Smithers,CA,1666740909,54.7804,-127.1743,35.92,100,100,4.61
228,Katsuura,JP,1666741183,35.1333,140.3,55.42,71,78,24.85
229,Hambantota,LK,1666741183,6.1241,81.1185,76.15,85,100,5.53
230,San Cristobal,VE,1666741183,7.7669,-72.225,68.18,89,99,0.81
231,Samarai,PG,1666741184,-10.6167,150.6667,82.78,67,12,9.01
232,Bataiporã,BR,1666741184,-22.2953,-53.2711,72.36,57,0,4.47
233,Zhigansk,RU,1666741184,66.7697,123.3711,-0.42,98,71,5.86
234,Mil'kovo,RU,1666741185,54.7167,158.6167,34.66,50,66,10.69
235,Ouésso,CG,1666741185,1.6136,16.0517,69.73,97,82,1.9
236,Oddur,SO,1666741185,4.1213,43.8894,72.09,83,70,9.04
237,Treinta y Tres,UY,1666741186,-33.2333,-54.3833,58.78,86,37,12.46
238,Namatanai,PG,1666741186,-3.6667,152.4333,85.5,65,84,4.45
239,La Asuncion,VE,1666741187,11.0333,-63.8628,91.13,62,97,12.66
240,Yuncheng,CN,1666741187,35.0231,110.9928,56.88,73,100,2.71
241,Bonthe,SL,1666741187,7.5264,-12.505,78.28,85,36,4.72
242,Khandyga,RU,1666741188,62.6667,135.6,20.17,93,100,8.37
243,Morón,AR,1666741188,-34.6534,-58.6198,74.05,78,99,9.35
244,Sola,VU,1666741188,-13.8833,167.55,79.57,75,5,1.12
245,Mana,GF,1666741189,5.6592,-53.7767,79.86,80,97,8.97
246,Vao,NC,1666741189,-22.6667,167.4833,69.22,89,100,11.88
247,Norman Wells,CA,1666741189,65.282,-126.8329,17.64,93,75,4.61
248,Mount Isa,AU,1666741190,-20.7333,139.5,73.17,94,75,4.61
249,Mitú,CO,1666741091,1.1983,-70.1733,76.62,81,82,1.48
250,Nantucket,US,1666741190,41.2835,-70.0995,66.31,97,67,12.59
251,Estelle,US,1666741190,29.8458,-90.1067,73.99,56,40,4.61
252,Klaksvík,FO,1666741191,62.2266,-6.589,49.12,86,100,8.84
253,Fort Saint James,CA,1666741191,54.4333,-124.25,39.58,65,100,1.48
254,Grindavik,IS,1666741191,63.8424,-22.4338,48.15,71,75,17.27
255,Tamiahua,MX,1666741192,21.2667,-97.45,72.21,63,99,11.5
256,Kloulklubed,PW,1666741192,7.0419,134.2556,81.1,78,100,20.24
257,Ust'-Uda,RU,1666741192,54.1742,103.0304,26.71,69,12,3.89
258,Dingle,PH,1666741193,10.9995,122.6711,80.47,86,100,6.71
259,Sisimiut,GL,1666741193,66.9395,-53.6735,23.83,82,93,8.19
260,Kudahuvadhoo,MV,1666741193,2.6708,72.8944,80.89,80,62,10.92
261,Chokurdakh,RU,1666741194,70.6333,147.9167,6.94,96,100,1.79
262,Concepción,CL,1666741194,-36.827,-73.0498,57.0,94,100,13.8
263,Porbandar,IN,1666741194,21.6422,69.6093,76.66,66,0,4.14
264,Algeciras,ES,1666741195,36.1333,-5.4505,65.88,77,100,2.3
265,Boueni,YT,1666741195,-12.9025,45.0761,78.78,77,41,14.29
266,Mattru,SL,1666741195,7.6244,-11.8332,74.68,96,52,2.26
267,Taywarah,AF,1666741196,33.35,64.4167,38.39,54,6,2.64
268,Te Anau,NZ,1666740983,-45.4167,167.7167,52.3,92,100,4.12
269,Collie,AU,1666741196,-33.3667,116.15,51.21,91,29,2.98
270,Bilibino,RU,1666741197,68.0546,166.4372,-6.65,96,18,2.37
271,Tuatapere,NZ,1666741197,-46.1333,167.6833,52.72,88,100,2.01
272,Berlevåg,NO,1666741197,70.8578,29.0864,33.8,68,100,6.82
273,Ambilobe,MG,1666741198,-13.2,49.05,68.86,76,6,4.76
274,Port Hardy,CA,1666741198,50.6996,-127.4199,46.58,87,75,3.44
275,Adrar,MR,1666741198,20.5022,-10.0711,79.92,15,96,9.57
276,Cidreira,BR,1666741198,-30.1811,-50.2056,66.04,82,0,21.47
277,Solnechnyy,RU,1666741199,50.7214,136.6319,37.27,58,64,5.68
278,South Lake Tahoe,US,1666741199,38.9332,-119.9844,54.63,33,100,12.66
279,Baykit,RU,1666741199,61.67,96.37,31.64,75,100,10.25
280,Severo-Kuril'sk,RU,1666741139,50.6789,156.125,40.71,63,3,8.59
281,Tsimmerbude,RU,1666741200,54.675,20.1347,54.97,91,88,12.48
282,São Paulo de Olivença,BR,1666741200,-3.3783,-68.8725,76.48,91,97,0.54
283,Māngrol,IN,1666741201,21.1167,70.1167,76.28,67,4,7.07
284,Korla,CN,1666741201,41.7597,86.1469,46.98,43,0,3.36
285,Guerrero Negro,MX,1666741201,27.9769,-114.0611,72.43,44,0,13.62
286,Orlik,RU,1666741202,52.5178,99.825,12.72,45,0,1.81
287,Koslan,RU,1666741202,63.4564,48.8989,30.24,90,95,6.06
288,Bosaso,SO,1666741203,11.2842,49.1816,77.52,74,82,4.25
289,Ranipur,PK,1666741203,27.2879,68.5051,77.86,20,0,6.58
290,Yārāda,IN,1666741203,17.65,83.2667,73.72,100,40,2.3
291,North Battleford,CA,1666741204,52.7834,-108.2847,41.4,60,100,2.3
292,Ranong,TH,1666741204,9.9658,98.6348,75.13,87,100,1.5
293,Chernyshevskiy,RU,1666741205,63.0128,112.4714,25.41,92,100,8.9
294,Baghdad,IQ,1666741206,33.3406,44.4009,66.11,39,0,4.61
295,Caravelas,BR,1666741206,-17.7125,-39.2481,71.6,92,19,4.25
296,Uniontown,US,1666741037,39.9001,-79.7164,71.94,48,100,4.0
297,Zamora,EC,1666741207,-4.0692,-78.9567,72.64,97,100,3.06
298,Båtsfjord,NO,1666741207,70.6345,29.7185,29.98,86,100,16.11
299,Santa Lucía,ES,1666741143,27.9117,-15.5407,63.72,83,20,9.22
300,Port Macquarie,AU,1666741208,-31.4333,152.9167,80.89,51,6,2.98
301,Mount Gambier,AU,1666741178,-37.8333,140.7667,60.71,94,75,9.22
302,Agadez,NE,1666741208,19.75,10.25,68.05,14,0,7.76
303,Kieta,PG,1666741209,-6.2167,155.6333,85.86,68,88,5.14
304,Weinan,CN,1666741209,34.5036,109.5089,57.13,86,100,4.0
305,Half Moon Bay,US,1666741210,37.4636,-122.4286,71.8,64,0,20.71
306,Tamandaré,BR,1666741210,-8.7597,-35.1047,76.95,81,63,11.23
307,Tevaitoa,PF,1666741210,-16.7833,-151.5,79.41,76,100,24.52
308,Dongsheng,CN,1666741211,39.8161,109.9776,42.42,50,13,7.81
309,Kaitangata,NZ,1666741211,-46.2817,169.8464,53.55,71,100,5.64
310,Hargeisa,SO,1666741212,9.56,44.065,68.94,80,71,2.82
311,Mossamedes,AO,1666741212,-15.1961,12.1522,68.31,85,38,6.8
312,Minot,US,1666740993,48.2325,-101.2963,39.42,70,100,11.5
313,Otane,NZ,1666741213,-39.8833,176.6333,66.69,51,66,5.1
314,Idlib,SY,1666741213,35.9306,36.6339,67.14,35,83,4.76
315,Paka,MY,1666741214,4.6374,103.4368,78.19,87,100,5.14
316,Ogbomosho,NG,1666741214,8.133,4.25,75.38,96,100,4.7
317,Tilichiki,RU,1666741214,60.4667,166.1,31.12,85,87,20.36
318,Rio Grande,BR,1666741215,-32.035,-52.0986,66.31,88,0,18.5
319,Normandin,CA,1666741018,48.8333,-72.5321,59.31,88,86,4.61
320,Gigmoto,PH,1666741215,13.7796,124.39,81.48,85,97,15.52
321,Chełmno,PL,1666741216,53.3485,18.4251,51.44,94,44,6.67
322,Padang,ID,1666741216,-0.9492,100.3543,76.26,89,100,3.31
323,Preeceville,CA,1666741217,51.95,-102.6677,25.03,90,100,6.22
324,Montrose,US,1666741217,38.4166,-108.2673,35.17,61,54,1.1
325,Mabaruma,GY,1666741218,8.2,-59.7833,76.71,90,100,3.65
