City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
301,Vondrozo,MG,1666735653,-22.8167,47.2833,65.44,93,96,2.39
302,Tual,ID,1666735653,-5.6667,132.75,82.74,72,93,4.76
303,Urengoy,RU,1666735654,65.9667,78.3667,23.52,95,100,15.12
304,Boueni,YT,1666735654,-12.9025,45.0761,78.78,76,18,12.08
305,Aklavik,CA,1666735529,68.2191,-135.0107,14.0,85,100,2.3
306,Clyde River,CA,1666735654,70.4692,-68.5914,-0.62,87,35,4.18
307,Anadyr,RU,1666735655,64.75,177.4833,7.3,92,75,8.95
308,Annapolis,US,1666735655,38.9785,-76.4922,63.14,93,100,5.75
309,Arroyo de la Encomienda,ES,1666735655,41.6096,-4.7969,59.59,82,0,8.05
310,Poção de Pedras,BR,1666735656,-4.6667,-44.85,75.81,91,100,3.71
311,Saint-Pierre,RE,1666735214,-21.3393,55.4781,71.91,78,0,4.61
312,Maxixe,MZ,1666735656,-23.8597,35.3472,75.69,88,1,11.12
313,Tilichiki,RU,1666735657,60.4667,166.1,30.11,75,80,16.37
314,Camacha,PT,1666735657,33.0833,-16.3333,69.22,83,20,8.05
315,Bambanglipuro,ID,1666735657,-7.95,110.2833,76.64,84,100,5.55
316,Iqaluit,CA,1666735658,63.7506,-68.5145,22.73,92,100,21.85
317,Obo,CF,1666735658,5.3998,26.4869,67.6,96,97,3.51
318,Alta Floresta,BR,1666735658,-9.8756,-56.0861,73.51,88,96,4.09
319,Taltal,CL,1666735659,-25.4,-70.4833,59.86,73,22,4.09
320,Anori,BR,1666735659,-3.7728,-61.6442,78.49,83,100,0.54
321,Ilulissat,GL,1666735613,69.2167,-51.1,26.62,93,100,4.61
322,‘Āhuimanu,US,1666735659,21.4447,-157.8378,87.51,67,75,20.71
323,El Tocuyo,VE,1666735660,9.7873,-69.7937,78.94,70,100,1.43
324,Mahon,ES,1666735656,39.8885,4.2658,70.36,88,0,6.91
325,San Carlos,VE,1666735660,9.6612,-68.5827,81.05,75,100,1.34
326,Fenoarivo,MG,1666735660,-18.933,47.4354,64.47,94,75,6.91
327,Chachapoyas,PE,1666735661,-6.2317,-77.869,61.54,88,98,1.43
328,Kushiro,JP,1666735462,42.975,144.3747,36.55,80,20,9.22
329,Kolondiéba,ML,1666735661,11.0882,-6.8926,79.61,42,8,1.99
330,Bitung,ID,1666735661,1.4451,125.1824,77.85,84,99,5.19
331,Batagay,RU,1666735662,67.6333,134.6333,14.18,94,100,3.04
332,Along,IN,1666735662,28.1667,94.7667,64.62,98,76,1.28
333,Broome,US,1666735662,42.2506,-75.833,67.06,82,0,4.61
334,Yaan,NG,1666735663,7.3833,8.5667,75.2,92,94,6.13
335,Bosaso,SO,1666735663,11.2842,49.1816,78.17,68,77,5.01
336,Nelson Bay,AU,1666735663,-32.7167,152.15,75.09,70,61,8.01
337,Ancud,CL,1666735664,-41.8697,-73.8203,52.23,92,84,17.45
